news,10:43 AM - 1 Apr 2009,fox13,http://www.fox13now.com,118282,7227,"Salt Lake City, Utah","40.76701,-111.8904299",FOX 13 News. KSTU. Salt Lake City. (801) 536-1313. news@fox13now.com. http://Facebook.com/fox13newsutah  http://Instagram.com/fox13now
news,4:06 PM - 18 Jun 2008,OWHnews,http://www.omaha.com,120543,10653,"Omaha, Nebraska","41.25873,-95.9378699",News tips? Call 402-444-1304. Customer service: 800-234-6942. More OWH accounts: https://twitter.com/OWHnews/lists  Careers at OWH: http://omaha.com/owhjobs
news,10:55 PM - 28 Oct 2008,LANow,http://latimes.com/now,442463,607,"Los Angeles, CA","34.05439,-118.2439399",Southern California -- this just in. News from L.A. and beyond from the Los Angeles Times. See @latimes for more news.
news,2:44 PM - 11 Jul 2008,whnt,http://WHNT.com,105399,3844,"Huntsville, Alabama","34.746775,-86.7086188994222","The Tennessee Valley’s News Leader - Taking Action, Getting Results"
news,1:50 PM - 1 Oct 2008,indystar,http://www.indystar.com/,223357,421,"Indianapolis, IN","39.76833,-86.1583499",News that matters. Sports that thrill. A city that excites. Serving the greater good of Central Indiana with local journalism. Follow on Instagram: IndyStar
news,10:29 AM - 24 May 2011,CaviteNews,,9073,20,"Cavite, Philippines","14.25,120.83333","Latest news from the province of Cavite, Philippines"
fire/emt,4:38 AM - 19 Aug 2009,IncidentAlertS1,http://www.incidentalert.com.au,229,7,Noarlunga,"-35.1412699,138.49547",Email and SMS for bushfires in South Australia & Victoria. This Twitter account only shows in region 1 (South Australia). N.B. Safe fires not shown
journalist,2:26 AM - 20 Apr 2010,ashu3page,http://ashu-hasrat.blogspot.com,41523,592,new delhi,"28.61389,77.21595","Journalist cover - Left, AAP, Elections, Nepal affairs. I have my opinion on everything. Tweets r personal ashu.3page@gmail.com"
journalist,8:57 PM - 4 Mar 2014,Prof_HariOm,,3697,899,"Jammu, Jammu and Kashmir","32.728055,74.9488425638526","A Historian, Columnist, Writer & Social activist."
fire/emt,4:04 PM - 18 Mar 2009,FireRescue1,http://www.firerescue1.com,40123,7507,San Francisco,"37.77928,-122.4192299","The #1 Firefighting online resource for news, training and videos."
news,8:13 AM - 13 Feb 2016,AllNorthEast,https://www.facebook.com/North-East-News-1736407493237312,183,4,"North East, England","50.59498,-1.9518899",Automated News aggregator from the North East's top news publishers.
news,1:00 PM - 2 Nov 2011,Ian56789,http://www.ian56.blogspot.com/?view=magazine,28509,4524,UK,"54.70235,-3.2765699",Advocate of Common Sense & Bill of Rights. Stock Mkt trader. Politics Analyst. Disseminating info. Calling out disinfo in the media. Stay curious!
disaster/accident,2:37 PM - 1 May 2011,suemc_phee,,23204,32,"treat all info ""as received""",,"We hate crime, we will do all we can to stop it & 1 day Nairobi will regain its glory! Just local guys who want to clean up the streets. Stay alert&vigilant!"
fire/emt,7:22 AM - 4 May 2010,EssexPoliceUK,http://www.essex.police.uk/doitonline,169219,23258,"Essex, UK","51.796705,0.579334404388714","Protecting and serving Essex - appeals + latest news. Please do not report crime here - call 999 (emergencies), report online or 101 (non-urgent enquiries)"
journalist,10:49 PM - 16 Mar 2009,LaneLuckie,http://www.laneluckie.com,3221,2610,"Tyler, Texas","32.35126,-95.3010599","News anchor/ reporter at @KLTV7 & @KTREnews, serving all of East Texas. Proud @NSULA alum. Retweets ≠ endorsements. Email me lluckie@kltv.com"
news,6:24 AM - 11 May 2013,Harley_Woody,,1787,135,"Va Beach, Virginia","36.90403,-75.9924299","Love my Family, my Harley, beaches and music! You can never be old and wise if you were never young and crazy! Media tweets not necessarily my opinion."
disaster/accident,12:55 PM - 8 Jan 2013,Afarin_Mamosta,,14539,122,Kurdistan,"35.6728,47.01243",Military development in Kurdistan
news,9:29 PM - 2 Nov 2007,NECN,http://www.necn.com,80328,290,Boston,"42.36048,-71.0595599",New England Cable News; NBC Owned Television Stations
news,2:02 PM - 19 Mar 2008,njdotcom,http://www.nj.com,417005,643,New Jersey,"40.07573,-74.4041599",N.J.'s #1 news website. #TrueJersey News tips: http://nj.com/tips
wx,3:38 PM - 24 May 2012,NWSCorpus,http://www.weather.gov/crp/,12486,69,"Corpus Christi, Texas","27.80025,-97.3955699","Official Twitter account for the National Weather Service Forecast Office Corpus Christi, TX. Details: http://weather.gov/twitter"
news,1:14 PM - 11 Mar 2009,WFLA,http://www.wfla.com,111865,2177,"Tampa, FL","27.94775,-82.4584399",WFLA News Channel 8 is a news leader in Tampa Bay.
wx,6:54 PM - 27 Mar 2009,WPSDWeather,http://www.wpsdlocal6.com/weather/default.aspx,13185,154,"Paducah, KY","37.08338,-88.6000399","WPSD Local 6 Weather Updates. Forecast updates for Paducah, Carbondale, Cape Girardeau, Murray, Union City, and surrounding communities."
news,8:42 PM - 17 May 2009,Stringernews,http://www.stringernews.com,5684,81,,,Covering Long Island's Breaking News Stories for 28 years. YOU MAY RETWEET BUT CALL FOR LICENSING PHOTOS AND VIDEO ON THE WEB OR TV
news,4:55 PM - 17 Jun 2013,Allnewsnetworks,http://www.allnewsnetworks.com,1437,271,,,We run and operate the website at http://www.allnewsnetworks.com . We simply post the news.
wx,10:48 AM - 17 Mar 2009,cbsbaltimore,http://www.cbsbaltimore.com,195731,527,Baltimore,"39.29086,-76.6107999","The latest #Maryland news, weather, sports and traffic from #WJZ. News tips: 410-578-7568. E-mail: newsroom@wjz.com. Download our apps."
