fire/emt,4:55 PM - 3 May 2011,WestPierce,http://www.westpierce.org,4028,96,"University Place, WA","47.21613,-122.540076802843",This site is not monitored 24/7. All content is subject to public disclosure and opinions of visitors do not reflect those of West Pierce Fire & Rescue.
wx,11:21 PM - 16 Jun 2011,SimpleWeatherOK,http://www.simpleweatheralert.com,351,205,Oklahoma,"34.95508,-97.2683999",Provide a valuable service. Get more page views. Attract Twitter followers. Add weather alerts to your social media. See our home page for our risk-free offer.
wx,1:36 PM - 3 Jun 2014,NWSSevereTstorm,http://www.weather.gov/twitter,21972,0,,,Official Twitter National Weather Service account used to distribute experimental severe thunderstorm impact graphics. Read more at: http://goo.gl/cCCw1s
news,2:42 PM - 4 May 2012,DailyGLOUCESTER,https://twitter.com/dailygloucester,4322,1764,"Gloucestershire (Glos), UK","51.84327,-2.16353168571429",All of the latest news and updates direct from the county of Gloucestershire in UK
journalist,11:34 AM - 28 Jun 2009,jimhummel,http://www.jimhummeltv.com,2318,393,"Lafayette, LA","30.22408,-92.0198399","I anchor the news for @katctv3. Louisiana by way of Buffalo, Boston, w/time in London that changed my life. Stonehill College 2006. What a time to be alive."
news,8:45 AM - 1 Nov 2011,WatchCTVNews,http://ctvnews.ca/mobile/video,20155,309,Canada,"61.06669,-107.9916999",Watch CTV News: the best news and LIVE events on the CTV News Video Network here: http://ow.ly/flrn5  or mobile: http://ow.ly/flrAv
journalist,10:49 PM - 9 Mar 2009,RickNBCLA,http://NBCLA.com,5126,2743,"Los Angeles, CA","34.05439,-118.2439399",Reporter for @NBCLA. SoCal native. @ULaVerne grad. Coffee. iPhone. One man is no man. #NBC4You #TODAYinLA
news,12:01 PM - 29 May 2008,virginianpilot,http://pilotonline.com,90964,899,"Norfolk, VA","36.88899,-76.2481599","The latest news, features and in-depth reports from The Pilot. Tweets by @travislylesnews, @seandkennedy, @williamhoup, @catgrog and @greggiesenvp."
journalist,12:54 PM - 3 Apr 2008,commondreams,http://www.commondreams.org,52430,463,,,Breaking News & Views for the Progressive Community
fire/emt,9:37 AM - 3 Nov 2011,ACSOSheriffs,http://www.alamedacountysheriff.org,9463,429,"Oakland, CA","37.80445,-122.2713499",The official Twitter page of the Alameda County Sheriff's Office. For emergencies call 911 or our dispatch center @ 510 667-7721.
news,6:06 AM - 1 Jul 2009,ayshardzn,http://www.ayshardzn.com/,47801,196,Malaysia,"2.39237,112.84719","Social Media Manager by profession. Loves football, movies and airplanes."
police/traffic,10:34 AM - 13 May 2009,phoenixpolice,https://www.facebook.com/phoenixazpolice,40068,203,"Phoenix, Arizona","33.44858,-112.0773399",PRIDE Protection Respect Integrity Dedication Excellence PRIDE
wx,5:31 AM - 5 Jun 2009,KTTSNews,http://www.ktts.com,10002,436,"Springfield, MO","37.21533,-93.2982499","The Ozarks only 24-hour newscenter, with Breaking News, Severe Weather, and Go-Patrol Traffic reports"
news,4:01 PM - 5 Feb 2009,Watchmanz,http://watchmanz.blogspot.co.nz/,563,170,New Zealand,"-41.5000799,172.8344",An avid news and current affairs junkie who has lived long enough to have experienced many momentous world events.
news,8:21 AM - 17 Apr 2009,wchs8fox11,http://www.wchstv.com/,56379,1850,"Charleston, WV","38.35059,-81.6332799",WCHS/WVAH TV serves the Charleston-Huntington market and is West Virginia's source for news. #EyewitnessWV
news,4:08 PM - 28 Jan 2008,kansasdotcom,http://www.kansas.com,54513,3495,"Wichita, KS","37.69223,-97.3375399",I'm the latest news updates from The Wichita Eagle and http://www.Kansas.com . Breaking Wichita news since 1872.
journalist,7:27 PM - 28 Nov 2012,IfesinachiE,https://www.facebook.com/IfesinachiE,843,1206,"Kearney, NE","40.69947,-99.0818499",Believer Reporter at @NTVNews/@KFXLFoxNebraska #MyNTVNews #NEwx #NEpx | #NABJ Member | Story idea? Call/text me: (308) 627-0954 / email iuegbosimba@sbgtv.com
police/traffic,2:47 AM - 10 May 2009,rajshekharTOI,"http://timesofindia.indiatimes.com/toireporter/author-Raj-Shekhar,filterby-3.cms",3289,302,"New Delhi, India","28.61389,77.21595","Reports on terrorism, internal security, underworld, organized & cyber crime, police & prisons. Views are personal."
