news,2:53 AM - 10 Aug 2014,republic_syrian,https://www.facebook.com/United.Syrian.Republic?ref=hl,2769,79,Syria,"34.64018,39.04941","Current news and updates about Syria - detailed maps, videos, and analysis."
journalist,12:07 PM - 16 Mar 2010,BeatrizVNews,http://dailybulletin.com,6101,1176,,,"I'm the crime and safety reporter in San Bernardino County for the Southern California News Group. Full-time journalist, part-time nerd. bvalenzuela@scng.com"
news,3:05 AM - 1 Aug 2008,BBCScotlandNews,http://www.bbc.co.uk/scotlandnews,358812,39,"Pacific Quay, Glasgow","55.85721,-4.2943299",Breaking news direct from @BBCScotland. For sport updates follow @BBCSportScot. On Instagram at bbcscotnews.
news,9:40 AM - 9 Feb 2009,kfdmnews,http://www.kfdm.com,12919,712,"Beaumont, Texas","30.08604,-94.1018399",Providing news our viewers have been counting on for more than 50 years
journalist,3:56 AM - 5 Sep 2014,SomreetbTOI,,459,189,"New Delhi, India","28.61389,77.21595","Senior Correspondent at The Times of India, extremely conscious about happenings around. Talkative. views here are personal, RTs are not endorsements"
journalist,7:21 PM - 1 Mar 2009,bryan_horwath,http://www.facebook.com/JournalistBryan,2229,998,"Wichita, KS","37.69223,-97.3375399","Journalist at @kansasdotcom, @SDStateMMC grad, #ScannerLife, MN native, Wisconsin raised, views my own and RTs not endorsements."
police/traffic,6:54 AM - 7 Apr 2011,965traffic,http://www.news965.com/traffic/,1565,276,"Orlando, FL","28.54211,-81.3790399","Giving you triple team coverage of traffic every 6 minutes in the morning on Orlando's Morning News, & updates throughout the day."
disaster/accident,12:07 PM - 26 Aug 2010,AmarAmarasingam,https://gwu.academia.edu/AmarnathAmarasingam,14216,995,"Toronto, Canada","43.65292,-79.3848999","Senior Research Fellow, @Institute4SD | Fellow, @gwupoe | Postdoctoral Fellow, @UWaterloo | Work on terrorism, jihadism, social movements, sociology of religion"
news,2:27 PM - 7 Aug 2008,edmontonjournal,http://www.edmontonjournal.com,146778,212,"Edmonton, Alberta, Canada","53.53436,-113.5064999",Headlines on all subjects from the Edmonton Journal. A list of our journalists: https://twitter.com/edmontonjournal/lists/edmonton-journal …
journalist,3:33 PM - 6 Jun 2010,MurtazaGeoNews,https://www.thenews.com.pk/writer/murtaza-ali-shah,204758,820,,,"GEO News, JANG & THE NEWS correspondent from London. Tweets strictly personal views Contact: ams0409@gmail.com"
