journalist,5:56 AM - 13 May 2012,Mir_Bugti3,,10954,77,,,Baloch Poet & Writer Anti-slavery and Freedom activist struggling For Free and United Baloch State.
wx,1:40 PM - 10 Jul 2012,NWSBoston,http://www.weather.gov/box,50515,95,"Taunton, MA","41.9001,-71.0897599","Official Twitter Account for National Weather Service - Boston/Taunton, MA. Details: http://weather.gov/twitter"
journalist,3:17 PM - 3 May 2011,JackBPR,http://BizPacReview.com,48712,27912,"Florida, USA","27.75676,-81.4639799","Catholic conservative, writer, husband and father. Founding partner and CEO of conservative website http://BizPacReview.com  #TCOT"
fire/emt,7:19 AM - 21 Feb 2011,niwnews,http://www.niwater.com,5405,1570,"Belfast, Northern Ireland","54.59698,-5.9300899","Updates from NI Water (Water & Sewerage Services in NI). This account is monitored during office hours only, if you have an emergency call 03457 44 00 88 (24hr)"
police/traffic,7:43 AM - 24 Mar 2011,alainapinto,http://whdh.com,3982,734,"Boston, MA","42.36048,-71.0595599",Traffic Reporter | @7News | Boston | @uakron Alumna | @AlphaDeltaPi | Persian cat mom | Email: apinto@whdh.com | Follow me on Instagram! @alainapinto
news,6:54 PM - 22 Jan 2009,TorontoComms,http://www.toronto.ca,263998,554,Toronto ON Canada,"43.65292,-79.3848999",City of Toronto news #CityofTO. Not monitored 24/7. Terms of use http://bitly.com/1iPebAC
journalist,9:46 AM - 14 Dec 2016,plivekenya,https://goo.gl/TokZ5z,609,772,"Nairobi, Kenya","-1.2832499,36.81724","P Live Kenya is Kenya's new media publisher. 24/7 live news & videos, entertainment, sports, lifestyle, celebrities & more"
news,6:02 AM - 6 Oct 2012,functionlove,http://functionlove.net/,19655,177,f(orever),,"Everything f(x)+Sulli, from news to photos and fancams Spreading the f(love) since 121006~"
wx,7:27 AM - 11 Jun 2009,JimOBrienWX,http://www.fox59.com,17226,7038,"Westfield, Indiana","40.04281,-86.1274799","Meteorologist for FOX affiliate #Indy...family, veteran, southpaw with 20 years covering Indiana weather...CBM, AMS certified! Instagram: jimobrienfox59"
news,1:30 AM - 17 Apr 2012,Phoenixshare,,1652,2371,,,Your source for the latest news on Phoenix
news,5:24 AM - 15 Mar 2009,JolyonRubs,https://itunes.apple.com/gb/podcast/news-roast/id1199550294?mt=2,22135,3816,London,"51.50732,-0.1276399","News Roast, Revolting, Brexageddon, The Revolution Will Be Televised, Don't Panic London, Rep:Independent Talent. INSTA: JOLYONRUBS SNAPCHAT: JOLRUBS"
journalist,8:19 AM - 9 Apr 2014,OrlaGuerin,,27188,1284,,,"BBC News Correspondent covering Middle East, based in Cairo. Dubliner who has made a few detours. Opinions and RTs are not views of the BBC."
news,12:15 PM - 6 Sep 2011,3dersorg,http://www.3ders.org,47681,227,World,,"http://3Ders.org  is your independent source for the latest 3D printing, 3D printer news, trends, insight and analysis."
journalist,3:43 AM - 1 May 2010,BelindaaPheto,,1823,1849,Johannesburg South Africa,"-26.2049999,28.04972","God's Favourite Daughter. Mother to a king, daughter & a sister. Student of life. Ethical Journalist. Retweets are not endorsements."
news,2:28 AM - 14 Feb 2009,New_Europe,http://neurope.eu,35086,7607,"Brussels, Belgium","50.84655,4.35169","Published since 1993, New Europe is the only independent weekly newspaper and daily website bringing you the most important European news and analysis"
