news,1:18 PM - 11 Jun 2013,S0AKER,http://www.soakernews.com,1102,2286,,,#breakingnews that is thoughtful and educational. Smart news that keeps you informed. Quality information 24/7. #S0AKER.
news,10:49 AM - 6 Dec 2014,DiamondandSilk,http://www.DiamondandSilk.com,307660,43,United States,"39.78373,-100.4458799","President Donald J Trump's Most Outspoken & Loyal Supporters. Vloggers, Public Figures & Speakers. Internet, Radio & TV Personality. #ChooChooBaby #VoteYOassOut"
journalist,7:49 PM - 30 Jul 2012,WickChris,http://www.ConspiracyTalk.info,22332,9815,"Ontario, Canada","50,-85.9999999",I'm am the Chief editor at http://conspiracytalk.info  and a professional media journalist with over 17 years on the information highway.
journalist,8:17 AM - 4 Mar 2014,KUTVMorgan,http://kutv.com,1092,818,"Salt Lake City, UT","40.76701,-111.8904299",News reporter @KUTV2News . There can be no joy in living without joy in work . Opinions are my own. Story idea? DM me. #2NewsAM
news,10:44 AM - 23 Feb 2011,BedfordDV,http://bedford.dailyvoice.com,906,126,"Bedford, NY","41.20426,-73.6437299","The Bedford Daily Voice is a local news organization. Our town-based reporters cover the most important news, sports and information in our community."
journalist,8:53 AM - 14 Jun 2010,andyshield,http://andy-shield.co.uk,2045,1653,"Great Malvern, UK","52.1093,-2.3181499",Freelance technology writer with a focus on #techforgood.
journalist,1:28 PM - 22 May 2010,ragipsoylu,http://www.dailysabah.com/columns/ragip-soylu/archive,37297,1803,"Washington, DC","38.89495,-77.0366399",Washington Correspondent for @dailysabah #Turkey E-mail: ragip.soylu@dailysabah.com Facebook: https://facebook.com/ragipsoylu/
news,6:33 AM - 6 Mar 2015,1069KissFM1,http://1069kissfm.com,410,308,"106 W 3rd St., Jamestown, NY","42.09339,-79.2595999",Hot Adult Contemporary Music Station
fire/emt,3:26 AM - 23 Jan 2013,ClevelandRPU,http://www.cleveland.police.uk,6213,280,,,The Cleveland half of the Cleveland & Durham Specialist Operations Unit. **This is not a monitored account** for a non-emergency call 101 or 999 for emergency
journalist,10:36 AM - 8 Apr 2009,Billbrowder,http://www.billbrowder.com,22157,521,London,"51.50732,-0.1276399","CEO Hermitage Capital, Head of Global Magnitsky Justice campaign, and Author of Red Notice"
journalist,2:28 AM - 19 Apr 2011,TheWesternGaz,http://www.westerngazette.co.uk,10371,1415,Contact us on 01935 709735,,Breaking news for Somerset and Dorset online every day. Newspaper publisher since 1737. Five editions in print every Thursday.
journalist,6:10 AM - 29 May 2008,pia_gutierrez,https://www.facebook.com/pia.m.gutierrez,29520,853,"Quezon City, Philippines","14.65099,121.04861","Journalist based in Manila, Philippines"
police/traffic,12:29 PM - 20 Feb 2009,LeahBethFOX13,http://www.fox13memphis.com,1452,536,"Memphis, TN","35.14902,-90.0516199","Traffic anchor, journalist, writer and former digital producer. Southern to the bone. Join me weekdays on FOX13's Good Morning Memphis."
journalist,7:36 AM - 12 May 2011,simonphomo,,2173,388,,,Senior political reporter @ Daily Sun
journalist,4:09 AM - 11 Oct 2009,franakviacorka,http://svaboda.org,4596,1454,"Washington, DC","38.89495,-77.0366399","Belarus activist, Journalist, @AmericanU Grad Student. Editor at @svaboda (RFE/RL). Focus:New media for democratization,Russian propaganda,nonviolent resistance"
news,12:37 PM - 20 Sep 2011,RolandReports,http://www.rolandmartinreports.com,6586,110,,,"Curator of News, Culture and Lifestyle"
journalist,12:06 PM - 13 Feb 2011,mariwriter,http://www.marihannah.com,5744,1460,Northumberland,"55.25,-2.0005499","Author, screenwriter, represented by @oliagent. Queen of Polari Prize. Crime series in development with @SproutPictures. Reader-in-Residence at @TheakstonsCrime"
news,1:52 PM - 31 May 2012,DanburyDV,http://danbury.dailyvoice.com,772,66,"Danbury, CT","41.39481,-73.4540099","The Danbury Daily Voice is a local news organization. Our town-based reporters cover the most important news, sports and information in our community."
disaster/accident,2:31 PM - 8 Aug 2011,FBIBuffalo,http://www.fbi.gov/buffalo/,4667,29,"Buffalo, NY","42.88644,-78.8783599","Welcome to the official FBI Buffalo Twitter. To submit a tip on terrorism or a federal crime, please go to https://tips.fbi.gov ."
journalist,1:28 AM - 30 Oct 2009,wiganrlfans,http://cherryandwhite.co.uk,5938,1089,Wigan,"53.54571,-2.6264599",16 years editor of Wigan Fan Site https://cherryandwhite.co.uk
police/traffic,5:41 PM - 17 Aug 2015,DCPoliceTraffic,http://mpdc.dc.gov,7038,45,"Washington, DC","38.89495,-77.0366399",Providing Timely Traffic Information To The Nation's Capital
news,4:39 AM - 12 Oct 2011,WebDPN,http://deathpenaltynews.blogspot.com,3943,531,"Paris, France","48.85661,2.35149",Daily updated news about the death penalty worldwide. Striving for a world without capital punishment.
news,5:22 PM - 9 Apr 2011,Alaska,http://en.wikipedia.org/wiki/Alaska,11486,3,Alaska,"64.44596,-149.6808999",The latest news for the state of Alaska
journalist,2:19 PM - 16 Mar 2009,BrittnyMcGraw,http://www.wpxi.com,3172,1095,"Pittsburgh, PA","40.44169,-79.9900799","I'm a weekend morning anchor/reporter @WPXI, newshound, dog mom, lover of all things UNC Chapel Hill and candy connoisseur. Email me at bmcgraw@wpxi.com."
journalist,10:02 AM - 18 Jun 2009,danicacoto,http://bigstory.ap.org/author/danica-coto,968,498,"San Juan, Puerto Rico","18.384235,-66.0534343642857","Caribbean-based reporter & editor for @AP. Our coverage includes Puerto Rico, Haiti and Guantánamo. Also, hurricanes and the occasional celebrity shenanigans."
disaster/accident,9:02 PM - 5 Aug 2016,Hadji911_,,697,677,United States,"39.78373,-100.4458799",Muslims greatest Talent always be seen as the victim Political correctness kills #IslamIsTheProblem Graphic 18
wx,3:31 PM - 5 Nov 2008,Ray_WTAE,,5835,3462,"Pittsburgh, PA","40.44169,-79.9900799","Dad, Husband, Meteorologist on @WTAE, & Beer Brewer. Tweets are my own, & following isn't an endorsement! **Your tweet may end up on tv** ☉☇"
wx,2:14 PM - 30 Nov 2012,arnpry,http://www.aaronperry.net/,987,686,"Boston, MA","42.36048,-71.0595599",Boston-area Meteorologist. Producing your weather on @nbcboston. Avid hiker working on @AppMtnClub's 4K Footers List in New Hampshire. http://fb.com/AaronNBCBoston
fire/emt,7:31 PM - 7 May 2015,Tahlequah_EM,,321,33,,,The official Twitter site of Cherokee County (OK) Emergency Management. Please follow NWS for warning information.
fire/emt,5:01 PM - 12 Apr 2015,lynnlocal7391,,749,680,"Lynn, MA","42.46676,-70.9494899",DVP 3 of the Professional Fire Fighters of Massachusetts
wx,10:36 AM - 1 Dec 2011,jkdweather,,196,397,,,"Lead meteorologist for JLT Re, passionate about wx application to business, @Steelers fan, @cornell BS @ualbany MS, former chair @AMS_BPSM"
news,10:34 AM - 16 Jan 2014,PAEmergencyPrep,,208,145,"Harrisburg, Pennsylvania","40.26631,-76.8861099","Bringing you Pennsylvania/U.S. news and resources to keep you, your family and your business safe. Are you ready?"
journalist,3:37 PM - 8 Apr 2009,twoshadesofhope,http://twoshadesofhope.com,3413,958,Deptford via Belfast,,"tweeting about mental health, feminism, skincare, disability, sex work, labour rights. doing stuff with @SexWorkHive & @unitetheunion. own views."
news,12:11 PM - 16 Feb 2009,cpsj,http://www.CourierPostOnline.com,25893,2079,"Cherry Hill, NJ","39.93483,-75.0307199",South Jersey's news source since 1875. Visit us on http://Facebook.com/courierpost . Follow us on http://instagram.com/courierpost
news,3:54 PM - 5 Mar 2009,cwrworldnews,http://paper.li/cwrmag/1306216716#,187,221,The World Is Our Neighborhood,,"World News, Empowerment, and Information publication featuring leading news sources, and interesting information and stories from around the world."
news,3:09 PM - 17 Sep 2009,Alex__Goodwin,,794,782,somewhere trying to get respek,,"#pv18,political science major,future PhD., freelance social commentator and sportswriter,sports radio host on #pv5thquarter,diehard SA spurs fan,football junkie"
wx,1:54 PM - 9 Apr 2008,MarshallMcPeek,http://www.marshallmcpeek.com,4344,368,"Columbus, OH","39.96226,-83.0006999","Meteorologist & Anchor, WSYX-ABC6 & WTTE-FOX28; Principal, MRM Media & Marketing, LLC"
journalist,8:13 AM - 15 Apr 2010,pastpunditry,http://pastpundit.com/,9770,438,"Charlottesville, VA","38.0293,-78.4766699","Author: MESSENGERS OF THE RIGHT. Editor: Made By History, WaPo. Columnist: @voxdotcom, @usnews & @theage. Host: @pastpresentpod. Scholar: @Miller_Center & @USSC"
