news,6:59 AM - 14 Aug 2008,newsjournal,http://news-journal.com,7272,535,"Longview, Texas","32.5007,-94.7404799","News, sports, features and commentary from Longview and across East Texas. Know of a story we should be covering? Tweet us or email newstip@news-journal.com."
journalist,1:32 PM - 14 Aug 2009,AmyJRomine,http://amyjromine.blogspot.com,58704,59896,"Texas, USA","31.81603,-99.5120899","Suspense for the Romantic Heart - Romantic Suspense Author, Corporate Professional, National Service Delivery Manager Operations"
police/traffic,10:18 AM - 21 Apr 2013,RibbonSociety,http://memorialribbon.com,2132,2285,Canada,"61.06669,-107.9916999",Police & Peace Officers' Memorial Ribbon Society. Societe du Ruban Commemoratif des Policiers et Agents de la Paix. To remember our fallen heroes.
news,5:57 AM - 14 Oct 2016,matt_white79,http://twt247.com,33,13,"Atlanta, GA","33.74909,-84.3901799",Bacon fanatic. Social media guru. Sci-Fi fan. Harley collector. UFC Fan
wx,1:07 PM - 25 May 2009,JoeMurgo,http://www.wearecentralpa.com/weather,1702,575,"Altoona, PA","40.51868,-78.3947299","Chief Meteorologist for @WTAJnews in Altoona, PA. I talk about #pawx, climate and am very active with the outdoors specifically skiing and kayaking."
journalist,7:49 AM - 9 Apr 2010,himantabiswa,http://www.himantabiswasarma.com,155688,65,"Guwahati,India","26.18059,91.75394","Minister, Govt of Assam. RTs are not my views. Official handle of HBS"
fire/emt,7:44 AM - 27 Jan 2011,YRP,http://www.yrp.ca,119015,1294,"Aurora, Ontario","43.99969,-79.4675299",York Regional Police Official Twitter. In case of emergency dial 911/non-emergency call 1-866-876-5423. Account is not monitored 24/7.
journalist,6:02 PM - 15 Mar 2009,ashabandele,,5196,1628,Brooklyn,"40.6501,-73.9495799","mother, author, journalist, organizer"
journalist,9:04 PM - 11 Mar 2009,mattlupoli,http://Instagram.com/mattlupoli,1256,424,Sunshine State,"46.7196,-117.0959999",Reporter for @WESH. Levity lover.
fire/emt,8:37 AM - 23 Sep 2014,ColaFire,http://www.columbiarichlandfire.net,5468,2644,"Columbia, SC","34.00074,-81.0343299",This is the official Twitter page for the Columbia Fire Department. This feed is not monitored 24/7. Dial 911 for emergencies. RTs/likes are not endorsements.
news,3:43 PM - 29 Jun 2009,WWG,http://www.wwg.com,111711,125,"Brentwood, TN","36.03256,-86.7825199",Breaking gaming news as it happens! A division of @ComicBook
wx,12:49 PM - 31 May 2012,NWSHanford,http://weather.gov/hanford,12959,302,"Hanford, CA","36.32745,-119.6456799",Official Twitter account for the National Weather Service Hanford. Details: http://weather.gov/twitter
journalist,12:25 PM - 14 Mar 2016,resourcehand,http://resource-handbook.com/,19,38,United States,"39.78373,-100.4458799","News Journalist. If you’re looking for the best in US and World News, you’ve come to the right place!"
fire/emt,9:39 PM - 9 Aug 2009,NRIFirePhotos,http://www.nrifirephotos.com,5949,1040,"North Smithfield, RI","41.96676,-71.5494999",Career fire/rescue Captain in a RI town (The views expressed are my own) owner http://NRIFirephotos.com
news,7:09 PM - 22 Jan 2017,Scavino45,http://www.WhiteHouse.gov,76312,167,"Washington, DC","38.89495,-77.0366399",Director of Social Media ~ Assistant to the President. Tweets Archived: http://wh.gov/privacy
journalist,8:31 PM - 8 Dec 2008,sborise,http://stamfordadvocate.com,614,465,"Fairfield, CT","41.2943,-73.3748599",Managing editor @StamAdvocate; Mom to 4YO prince; Certified yoga instructor; LatAm enthusiast
journalist,2:34 PM - 22 Mar 2011,SamUngerWGN,http://wgntv.com,4210,3653,"Chicago, Ill.",,News Assignment Editor at WGN-TV
journalist,6:08 AM - 4 Jul 2010,tundeyeludini,,705,757,"Lagos, Nigeria","6.45505,3.39417",Journalist and researcher with passion for athletics and football. Currently providing online contents on both fields.
news,10:06 PM - 25 Aug 2012,clairezcardona,http://dallasnews.com,2314,1743,"Dallas, TX","32.77627,-96.7968499",'The Katie Ledecky of news producers' @dallasnews. @UTAustin. #NOLA. Cats. I'm hungry.
