news,9:19 PM - 18 Jun 2015,fgtrend,http://www.fgtrend.com,1120,217,,,"https://www.fgtrend.com ™- Nigeria's Best Entertaining, Technology, Sport and News Blog"
news,1:52 PM - 27 Aug 2012,TechnicallyDC,http://technical.ly/dc,7502,3620,"Washington, DC","38.89495,-77.0366399","Building a Better DC Through Technology. Tech news with a sense of place. Part of the @technical_ly network, sister site of @technicallyPHL. #dctech"
police/traffic,5:08 AM - 11 Jul 2011,PoliceWidnes,http://www.cheshire.police.uk,8236,153,"Widnes, Cheshire",,"Policing Appleton, Kingsway, Riverside, Birchfield, Broadheath, Hough Green, Ditton, Hale, Farnworth, and Halton View"
police/traffic,7:14 AM - 12 Sep 2014,crimebangalore,http://www.ksp.gov.in,9377,10,Bengaluru,"12.97911,77.59129","Additional Commissioner of Police, Bengaluru East @AddlCPEast (Views personal & RTs not endorsements)"
govt,1:26 AM - 5 Jun 2012,HermanMashaba,http://da.org.za,45472,621,"Johannesburg, South Africa","-26.2049999,28.04972","Executive Mayor of Johannesburg | Hammanskraal-born entrepreneur, businessman and Black Like Me founder"
journalist,2:14 PM - 18 Oct 2011,MichaelJFell,http://mjfellright.wordpress.com/,15984,17535,"Culver City, CA","34.02112,-118.3964599","A leading voice in the L.A. area Tea Party and recognized Conservative writer, contributing to http://conservativedailynews.com/  and more.."
news,10:33 AM - 6 Jun 2012,novaramedia,http://novara.media,20621,803,London,"51.50732,-0.1276399",Media for a different politics. info@novaramedia.com
news,9:22 AM - 18 Jun 2009,BBCCambs,http://www.bbc.co.uk/cambridgeshire,65900,1419,"Cambridgeshire, UK","52.33333,0.08333",Official account for the BBC in Cambridgeshire. You can listen to BBC Radio Cambridgeshire on 96&95.7FM on digital and online
journalist,6:04 AM - 9 Aug 2010,LaurenPastrana,http://facebook.com/laurenpastrananews,5239,1525,"Miami, FL","25.77426,-80.1936499",@CBSMiami News Anchor. Reporter at heart. @UFJSchool Alum. Miami native. Everyone has a story to tell. I want to share them. lpastrana@cbs.com
police/traffic,4:14 PM - 14 Jun 2013,margiereedgray,,39,192,Sunshine Coast,"-26.5443199,153.05077",Mother to Myles Gray 33. he was my business partner for 6.5 years before being beaten to death by 7 police officers in Vancouver BC.
journalist,10:27 AM - 6 Jul 2009,Chriseldalewis,,38306,1196,Johannesburg/South Africa,"-26.2049999,28.04972",Senior Broadcast Journalist SABC TV. News Anchor SAFM. Experience in print & news agencies. Media Trainer & Facilitator. Loves life Chriselda.Lewis@yahoo.com
news,1:52 PM - 15 Sep 2014,Fla_Pol,http://www.floridapolitics.com,7108,688,,,"Florida Politics is a statewide, new media concern covering campaigns, elections, government, policy, and lobbying in Florida."
journalist,2:31 PM - 15 Aug 2012,ColleenNBC12,https://www.facebook.com/ColleenQuigleyNBC12/,1348,1763,,,"Reporter and #FirstAlertCenter anchor for @NBC12 in Richmond, VA. New Yorker, and proud @BostonCollege grad! Story idea? Email me cquigley@nbc12.com"
journalist,8:16 AM - 10 Feb 2009,ed_aarons,http://www.theguardian.com/profile/ed-aarons,19141,2961,London,"51.50732,-0.1276399","Deputy news editor @Guardian_sport All opinions are my own, not those of my employer"
journalist,11:45 AM - 6 Jun 2011,hickey_megan,http://www.newsnet5.com,956,196,"Cleveland, OH","41.50516,-81.6934399","TV Reporter at ABC affiliate WEWS in Cleveland. Georgetown Hoya & Medill Grad. Chicago native. Runner, triathlete, singer and ukulele player."
news,9:04 PM - 13 Feb 2010,MississippiTime,,3802,388,Mississippi,"32.97156,-89.7348399","Breaking news about Mississippi, curated by @quiboatnews."
journalist,6:47 AM - 14 Feb 2009,nickycain,,952,714,London,"51.50732,-0.1276399","Media & info rights barrister @RPCLaw. Co-author 'Defamation: Law, Procedure & Practice', 4th Ed,2009. Views expressed mine (except RTs). Tweets ≠ legal advice."
journalist,9:39 AM - 6 Nov 2012,armandodkos,,10680,307,"New York, USA","40.73059,-73.9865799","Contributing Editor, Daily Kos"
disaster/accident,7:18 PM - 10 Jan 2017,Charles_23631,,951,87,worldwide,,Interested in observing & publishing the world terrorism activities
news,7:54 AM - 11 Feb 2013,VNBreakingNews,http://vietnambreakingnews.com,2433,0,Vietnam,"13.2904,108.42651",Live updated latest news on Vietnam
police/traffic,11:32 AM - 30 Jan 2017,myclearwaterPD,https://www.facebook.com/ClearwaterPolice/,542,33,"Clearwater, FL","27.96585,-82.8000999",Clearwater Police Department
news,6:35 AM - 7 Apr 2017,NNShowbiz,http://www.newsnation.in/entertainment,60,79,"Noida, India","28.57264,77.35476","News Nation covers all latest updates on Entertainment, Film industry, Television, Gossip and tips on Lifestyle and Health"
wx,8:34 AM - 29 Sep 2013,RobynKing_WTWO,http://www.facebook.com/RobynKingWTWO,813,397,"Terre Haute, IN","39.4667,-87.4139099",NBC 2 Morning/ Midday Meteorologist; South Alabama Meteorology Major; Cincinnati native; never forgets to smile; golfer
journalist,4:49 PM - 1 Sep 2009,redcablesunday,http://www.redcablesunday.com,2459,4997,London,"51.50732,-0.1276399",Radio 2 Radio 3 6 Music BBC Introducing RTE featured DIY musician. writer of 'Champion' for London 2012 Olympic drummers. Single 'Relentless' out now.Corbynista
journalist,6:28 PM - 28 Mar 2011,KatieKormann,https://www.facebook.com/katiekormannnews,1910,1003,St. Louis,"38.62727,-90.1978799","Wake up with @fox2morning @fox2now! Purdue & DePaul grad, dog mom, cat lady. http://fox2now.com/author/kkormann/ …"
journalist,9:33 PM - 2 Mar 2009,lisacreamer,http://www.linkedin.com/in/alyssacreamer,929,1195,"Boston, Massachusetts","42.36048,-71.0595599","Journalist, digital producer @WBUR | acreamer@bu.edu. Owns a couch for the creative."
journalist,5:17 PM - 1 May 2014,LatifaAkay,,863,589,LDN,"50.10649,14.400905","putting in the work at @Maslaha, board member @inclusivemosque, writer, Sister, dried fruit enthusiast."
police/traffic,6:40 AM - 5 Feb 2010,ETNhahn,,829,35,"Erie, PA","42.12906,-80.0852399",Police reporter for the Erie Times-News. Retweets do not constitute an endorsement of the content and/or views retweeted.
journalist,5:03 PM - 25 Jul 2011,Rach_Riley,http://www.townsvillebulletin.com.au,1128,680,Townsville,"-19.2569299,146.82395",Townsville Bulletin journalist and sports fan. Digital producer and Defence writer. views & opinions = mine. @tsv_bulletin
