wx,10:15 AM - 21 May 2009,kslnewsradio,http://kslnewsradio.com,17053,230,"Salt Lake City, UT","40.76701,-111.8904299",Utah's #1 radio station. Traffic and weather every 10 minutes on the 9s. Stream live at http://KSL.com/listen . Send story ideas to social@ksl.com.
fire/emt,12:41 PM - 29 Sep 2010,HamptonVAPolice,http://www.hamptonvapolice.org,6233,118,"Hampton, VA","37.03009,-76.3451999",Committed to the highest quality service to Hampton citizens. Call 911 for Emergencies. (757) 727-6111 for Non-Emergencies.
disaster/accident,6:11 AM - 12 Oct 2014,ArmouredCarrier,http://www.armouredcarriers.com,895,139,,,Exploring the history and debunking the myths of Britain's Illustrious & Implacable armoured carriers in World War II through archives and personal accounts.
journalist,11:46 AM - 7 Mar 2007,nathansources,https://www.linkedin.com/in/nathanvance,5453,4769,"Seattle, WA","47.60383,-122.3300599",Practicing #gratitude daily. Insatiably curious. I hire Data Scientists at @VersiveAI Board Member @USBLN Views are my own #ml #ai #cybersecurity #phd #hiring
journalist,11:43 AM - 15 Mar 2016,BartKRDO,http://www.krdo.com,155,80,"Colorado Springs, CO","38.83395,-104.8253399",News Anchor/Reporter
disaster/accident,5:22 PM - 21 May 2009,chemsafetyboard,http://www.csb.gov,3976,59,"Washington, DC","38.89495,-77.0366399",The CSB is an independent federal agency charged with investigating serious chemical accidents. Visit http://csb.gov  or http://youtube.com/uscsb
news,11:47 PM - 29 Oct 2013,illuminaija,https://illuminaija.com,20260,14023,,,Music/Video Promotion | Hype | Events Ticketing | Advert | PR | BBM CHANNEL: C00207ED9.
news,11:25 PM - 30 Nov 2009,super_rugby,http://www.superxv.com,26910,4,The home of Super XV Rugby.,,Providing the latest Super Rugby News since 2009. The Original Super Rugby Twitter account. Unofficial.
journalist,4:09 AM - 24 Apr 2013,PaulChambersTV,,1749,263,Oakland Ca,"37.80445,-122.2713499","Ohio State alum, KTVU reporter. Want to share your story or have a news tip? Contact me paul.chambers@foxtv.com Instagram: paulchamberstv"
news,3:16 PM - 19 Jul 2014,lighthouseoftec,http://www.lighthouseoftec.com,1234,60,,,Lighthouse of Technology News & More.. منارة لجديد التقنية وأكثر.. إِنِّي رَأَيْتُ وَفِي الأَيَّامِ تَجْرِبَةٌ لِلصَّبْرِ عَاقِبَةً مَحْمُودَةَ الأَثَرِ
news,3:10 PM - 6 Sep 2008,MyNBC5,http://mynbc5.com,30789,438,Burlington . Plattsburgh,"44.69679,-73.4879599",@MyNBC5 is where the news comes first! Email us at newstips@mynbc5.com.
news,8:51 AM - 24 Aug 2010,Guns_com,http://www.guns.com,93423,530,"Chicago, IL","41.87555,-87.6244199",http://Guns.com  is a niche news web site that publishes original reporting on the wide range of topics within the gun world.
journalist,12:10 AM - 14 Dec 2010,GerLynaghTV3,http://www.tv3.ie/news,4107,421,"Dublin, Ireland","53.34976,-6.2602699",News Reporter | Anchor for TV3 Ireland. All views are my own.
wx,11:08 AM - 9 Jan 2009,BryanHaleKGBT,http://www.valleycentral.com/,4345,33,"Harlingen, texas","26.19063,-97.6960999",Chief Meteorologist for KGBT 4: Harlingen/Brownsville/McAllen
wx,1:38 PM - 27 May 2010,ScottSKOMO,http://komonews.com/weather/scotts-weather-blog,13211,3085,"Seattle, WA","47.60383,-122.3300599","Meteorologist for @KOMONews, author of Partly to Mostly Bloggin' Weather blog, spokesperson for Seattle's rain fans. Tweets about Seattle weather. A lot."
journalist,6:33 PM - 7 Sep 2011,TrishaHendricks,http://facebook.com/TrishaHendricks12News,7273,3295,"Phoenix, Arizona","33.44858,-112.0773399",Anchor/Reporter for @12News - @Cronkite_ASU Grad - Love to Explore #Arizona - Got a story idea? E-mail me: thendricks@12news.com Retweets are not endorsements
journalist,6:46 AM - 17 Feb 2012,tsw457,,224,526,"Annapolis, MD","38.97864,-76.4927799","Clean Water, Equality, Politics, Music, Family, Orioles Baseball. Personal account. Views expressed are my own."
news,3:17 AM - 4 Feb 2015,Zamfara_News,http://www.newslocker.com/en-ng/region/zamfara/,460,438,,,Find your latest news about Zamfara with just one click. Don't miss out on anything happening in your region!
