journalist,7:20 AM - 7 May 2015,Carl_Hiaasen,http://www.carlhiaasen.com,7306,42,"Florida, USA","27.75676,-81.4639799","columnist @miamiherald, and author @aaknopf and @randomhousekids and @HachetteUS and @VintageBooks"
disaster/accident,9:14 AM - 20 Dec 2010,RoryGeo,https://www.linkedin.com/in/rorymgeoghegan,1784,1529,"London, England","51.50732,-0.1276399","Head of Criminal Justice at @csjthinktank. Effective criminal justice & quality policing to ensure law, order and public safety in all our communities."
news,6:14 PM - 26 Sep 2010,Nicolette_JA,https://www.linkedin.com/in/nicolette-y-bryan-8a318a23?trk=nav_responsive_tab_profile_pic,1385,716,Jamaica,"18.18505,-77.3947599",2016 Chevening Scholar & Social Media Ambassador - #CheveningSMA|Ass. Director @WEChangeJA|Ornithology Hobbyist| @cardiffuni MSc student
govt,7:50 AM - 18 Jan 2015,Hope012015,,32615,26467,"Texas, USA","31.81603,-99.5120899","Attorney at Law, #TheResistance , #NeverTrump U.S. Const'l Advocate, Independent, Former US Dept of Homeland Security, (fmr Agent), Nat'l Security, Humanitarian"
fire/emt,1:13 PM - 3 Apr 2009,OPP_WR,http://www.opp.ca,21889,396,"London, Ontario","42.98809,-81.2460199","Official account of the Ontario Provincial Police, West Region. Not monitored 24/7. Call 911 in case of emergency."
journalist,2:26 PM - 18 Aug 2008,AamerISmad,http://www.usatoday.com,4280,3544,"Chicago, IL","41.87555,-87.6244199",Chicago-based correspondent for @USATODAY.
journalist,2:24 AM - 15 Jan 2009,harryph,http://www.conservativehome.blogs.com/localgovernment/,5435,1595,Hammersmith,"51.49203,-0.2236399","Journalist and blogger. H&F Conservative councillor Ravenscourt Park Ward. Married with three daughters. harry.phibbs@gmail.com, http://hammersmithfulhamforum.com"
journalist,9:37 AM - 13 Feb 2009,stephnthecity,http://stephnthecity.com/,4380,1478,"Nashville, TN","36.16222,-86.7743499","Emmy nominated WKRN reporter, Yallwire Host/Producer. Seen in Furious 7, Country Strong & Nashville (TV Series). Voted Best of Nashville news personalities"
news,9:34 AM - 16 Jan 2017,MadelineSelter1,http://viid.me/qdkvT6,434,285,United States,"39.78373,-100.4458799",news and more
news,1:53 AM - 1 Aug 2013,Eastern_Mirror,http://www.easternmirrornagaland.com/,294,1,Dimapur,"25.82349,93.9229474979242","A leading English daily newspaper in Nagaland, Eastern Mirror stands for excellence in journalism and is committed to independence and fairness."
fire/emt,10:15 PM - 14 Jul 2012,MonmouthPDFDEMS,https://www.facebook.com/MonmouthCountyPoliceFireEMS,7439,439,"Monmouth County, NJ","40.29323,-74.1671099","Monitoring Police, Fire & EMS radio transmissions along with citizen reports to bring realtime news to the Monmouth County area"
news,6:18 AM - 13 Jul 2012,Consp_theories,http://news.newslocker.com/conspiracytheories/,2526,2723,,,Find your latest Conspiracy Theories news with just one click. Don't miss out on anything happening on theories .check
journalist,7:45 AM - 7 Jun 2010,omarsachedina,http://www.ctvnews.ca,9862,1909,Ottawa,"45.42103,-75.6900199",Correspondent for CTV National News. Love my job. Love the people in my life. And love sushi. IG: @omarsachedina SNAP: omar.sachedina
news,5:00 AM - 15 Apr 2015,Islamedianalysi,http://www.islamedianalysis.info,141,311,,,Islamic Media Overview
wx,12:50 PM - 24 Sep 2010,6WxMan,,1932,422,"New Orleans, LA","29.94993,-90.0701099","Commander, United States Navy (R), Huge Saints Fan, Mentor, Weekday Morning Meteorologist for WDSU-TV, Channel 6"
news,8:21 AM - 3 Mar 2010,WatchPhoenix,,2595,342,"Phoenix, AZ","33.44858,-112.0773399","Breaking news about Phoenix, AZ, curated by @quiboatnews."
journalist,10:37 AM - 17 Jan 2009,SarahM_SYN,http://www.thestar.co.uk,2024,1898,"Sheffield, England","53.38066,-1.4702199","Shrewsbury girl, @livuni graduate & multimedia reporter at The Sheffield Star & Doncaster Free Press. Email me at sarah.marshall@jpress.co.uk Views mine."
news,6:41 AM - 12 Sep 2008,shawndearn,http://www.shawndearn.com,2081,1952,Montreal & Ottawa,"45.50879,-73.5539799","Ian's husband, @CJAD800 news, podcast producer. Former press gallery prez, pub. servant & govt relations to top Cdn enviro orgs. Français aussi. Tweets my own."
news,2:42 PM - 30 Sep 2014,LatestNewsngr,https://www.9javiews.com,1346,2345,"Port Harcourt, Nigeria","4.76765,7.01885",Latest Nigerian News.... http://www.9javiews.com . Fb https://www.facebook.com/9javiewsNews/
journalist,7:42 AM - 15 Apr 2009,frankpallotta,http://money.cnn.com/author/frank-pallotta/,8364,860,New York,"40.73059,-73.9865799","@CNN entertainment + media reporter covering film/TV biz, pop culture, and galaxies both near and far, far away. E-mail: frank.pallotta@cnn.com"
wx,7:38 AM - 13 Sep 2013,encweather,http://www.encweather.com,953,1050,"Greenville, NC","35.61266,-77.3663499",Weather forecasts for ENC. Atmospheric Science education from East Carolina University and Penn State University. Skywarn spotter. PT Wx consultant.#ncwx #encwx
disaster/accident,7:00 PM - 26 Oct 2013,TahrirSy,http://tahrirsouri.com,8495,310,Syria,"34.64018,39.04941",Tahrir Souri: Covering the news of the Syrian war. We tweet in Arabic and in English. RT ≠ Endorsement. Arabic Website: http://tahrirsouri.com
news,5:31 PM - 27 Jun 2012,Houston24X7,,3512,3460,"CANADA, Regina","50.44809,-104.6158099",Your best source of Houston News on Twitter
journalist,9:13 AM - 26 May 2011,sbelsole,http://baynews9.com,977,525,"Tampa/St. Pete, FL",,Reporter for @BN9. @EmoryUniversity alumna. Collegiate athlete. Animal lover. Fro yo addict. Story ideas? Email me at sara.belsole@charter.com
journalist,2:06 PM - 12 Jan 2013,AviWoolf,,4861,1636,Israel,"30.87602,35.00151",#NeverTrump 3rd class Elder of Zion. @TheBuckleyClub Managing Editor. Virtue movement conservative/traditionalist. A firm rock in a chaotic world. Open DMs.
news,6:13 AM - 1 Dec 2016,Guinea_Info,,12,3,Guinea,"10.72262,-10.7083499",The latest news and information updates from Guinea
news,1:29 PM - 31 Mar 2009,ameyaw112,http://www.ameyawdebrah.com,388255,14640,Ghana,"8.03002,-1.0800199",Multiple award-winning Celebrity blogger. A social media influencer and publicist. Founder of Ameyaw Debrah Media. Country manager http://yen.com.gh
journalist,8:50 AM - 4 Jan 2011,Josh_Solomon15,http://tampabay.com,1256,1490,"Tampa, Florida","27.94775,-82.4584399",Pasco reporter at the @TB_times. @MedillSchool '14. @Directv hater.
news,7:42 PM - 12 May 2011,frogsarelovely,,6508,5915,Montreal,"45.50879,-73.5539799",news junkie and just about ready to start a revolution ;-)
news,11:08 PM - 26 Mar 2011,Gazanalysis,http://gazanalysis.blogspot.com,1073,266,Palestine,"31.64974,35.16207","Focusing on the continuing Israeli occupation & closure of the #Gaza Strip, human rights in the OPT, #BlackLivesMatter & corporate media distortions"
news,2:52 PM - 17 May 2016,180report,http://180report.com,1691,1080,,,Get the latest headlines from both left and right perspectives.
journalist,9:48 AM - 8 Jul 2010,RamonGalindoNBC,http://www.ramongalindo.tv,1861,1774,RT ≠ endorsement,,I'm a TV Reporter & Producer based in Southern California. Currently at @nbcsandiego. Formerly at @RT_America & ABC @10News.
journalist,10:41 PM - 12 Oct 2011,nehadixit123,http://bit.ly/1AUg1gW,18331,2465,New Delhi,"28.61389,77.21595","Independent Journalist, South Asia. Politics & Social Justice. Bylines: @SmithsonianMag @AJEnglish @thecaravanindia @outlookindia & more. nehadixit123@gmail.com"
journalist,11:49 PM - 21 Jul 2012,Joskinesque,,194,220,Silly Suffolk,,"My views are my own. If you don't like them, or beg to differ, then that's your problem and not mine."
fire/emt,8:07 AM - 27 Dec 2008,tofireN,http://twitter411.ca,3114,7,"Toronto, Ontario, Canada","43.65292,-79.3848999",Toronto Fire North Command Active Incidents Not affiliated with Toronto Fire Dept. or City of Toronto.
news,3:43 PM - 11 Sep 2013,derrickscottrad,,91,226,,,"20+ yr radio personality, father of a beautiful daughter named Amelia, community passion, movie buff."
news,4:56 AM - 19 Nov 2012,donegalpage,http://DonegalPage.com,2971,488,Co. Donegal,"54.92075,-7.95230955517241","Donegal Page - A Live Stream of the Best Donegal News, Features, Events, Entertainment, Sport, Images & Videos on One Page."
fire/emt,11:33 AM - 21 Oct 2009,ProvidenceRIPD,http://providenceri.com/police,929,478,"Providence, RI","41.82398,-71.4128299","Official Twitter for the Providence, Rhode Island Police Dept. Account is not monitored 24/7. Call 9-1-1 in an emergency. ""Semper Vigilans"" TAV=Commander Verdi"
journalist,3:30 PM - 6 Apr 2011,BShtwtr,https://en.wikipedia.org/wiki/Baraa_Shiban,8427,1206,"London, England","51.50732,-0.1276399","Insight from the inside, live updates from the #Yemen-i fronts.. views expressed are my own. RT≠Endorsment. Caseworker @ReprieveUK"
journalist,12:11 PM - 19 Jul 2011,WillSammon,http://www.clarionledger.com/sports/mississippi-state/,8210,1438,wsammon@jackson.gannett.com,,"Mississippi State beat reporter for @clarionledger, part of the @usatoday network."
journalist,6:53 PM - 22 Jul 2009,abovejordan,http://www.globalagendaint.org,1207,2073,Baltimore,"39.29086,-76.6107999","Security Specialist, Author & Activist President, Global Alternative Agenda and Publisher of the African Journal of Counterterrorism"
news,4:16 AM - 9 Feb 2009,CapitalOfficial,http://capitalfm.com,954127,24361,United Kingdom,"54.70235,-3.2765699",The UK's No.1 Hit Music Station.
journalist,11:41 PM - 11 Jun 2013,Protectionliber,,33,33,,,Radio Show Host and Freelance Journalist on http://www.protection.thelibertybeacon.com
news,10:34 AM - 23 Nov 2011,DeadlineDetroit,http://www.deadlinedetroit.com,12366,983,"Detroit, MI","42.34866,-83.0567299",Our daily news and commentary site covers the Motor City and Southeast Michigan with original content and linked summaries. Co-managed by @APStamm
journalist,8:20 PM - 6 Dec 2014,nwpino,https://txstate.academia.edu/NathanPino,410,480,"San Marcos, TX","29.88264,-97.9405799","Prof of Sociology and Honorary Prof of Intl Studies at Texas State Univ (Criminology, Globalization). All views & opinions are mine alone, rt ≠ endorsement."
journalist,12:00 PM - 4 Mar 2010,ChuckRossDC,http://dailycaller.com/author/chuck-ross/,13558,249,,,Reporter at The Daily Caller
