journalist,9:17 AM - 20 Apr 2009,jrbullington,http://connect.nola.com/user/jonathan_bullington/posts.html,1750,955,New Orleans,"29.94993,-90.0701099",Former night news reporter now covering crime in the daylight for http://NOLA.com  | The Times-Picayune. Email me your story tips: jbullington@nola.com.
news,7:17 AM - 23 Jun 2010,NorthbrookPatch,http://Patch.com/Northbrook,2348,837,"Northbrook, IL","42.12968,-87.8305399",Northbrook Patch is your source for local news.
journalist,12:03 AM - 6 Apr 2014,emmajackson2010,,2458,2406,Rotherham,"53.43097,-1.3554499","CSE SURVIVOR, AUTHOR OF EXPLOITED & THE END OF MY WORLD, TRAINER & STUDENT. 96 YEARS + 9 & 1/2 YEARS JUSTICE."
news,8:34 PM - 12 Apr 2012,Baltimoreworld,,3153,2909,,,We deliver the latest Baltimore news everyday
news,1:03 PM - 12 Apr 2008,gazettedotcom,http://www.thegazette.com,43022,3185,"Cedar Rapids, Iowa","41.97588,-91.6703999","Eastern Iowa News and Sports, since 1883 | Gazette Photos: @gazettevisuals | Gazette Sports: @CRGazetteSports | Tweets by @St3phenSchmidt @richpria"
police/traffic,8:38 AM - 24 Jul 2013,FPDPIO,http://www.fullertonpd.org,5555,608,"Fullerton, California","33.87082,-117.9294099",The Official page of the Fullerton Police Department Public Information Officer. Social media policy-http://goo.gl/Uj3v1e
fire/emt,6:32 AM - 3 Mar 2014,yardleyconst,http://www.west-midlands.police.uk/,917,376,Sheldon Police Station,"52.47062,-1.784557025","Police Inspector, Yardley Constituency. Responsible for Acocks Green, Sheldon, South Yardley and Stechford alongside Sgt Sharon Revitt. Call 999 in an emergency"
journalist,8:22 PM - 4 May 2010,nielslesniewski,http://www.nielslesniewski.com,21645,2395,"Washington, D.C.","36.29885,-82.3591834",Just the senior Senate reporter at @rollcall. @hamiltoncollege graduate. Stroke survivor. Bourbon drinker. Bully. niels@cqrollcall.com
journalist,1:12 PM - 8 Oct 2008,dodgerman,http://cbschicago.com,1674,1332,Chicago,"41.87555,-87.6244199","Director, Digital Content-CBS Local, Chicago, Veteran journalist, always learning"
news,10:14 PM - 21 Jul 2011,technews_google,,2540,0,,,Unofficial tech news feed from @Google and @WinBetaDotOrg
fire/emt,10:58 AM - 17 Nov 2011,CityFredPolice,http://www.frederictonpolice.com,7362,40,"Fredericton, New Brunswick, CA",,The official Fredericton Police Force Twitter account. This account is not monitored 24/7. * For emergencies call 9-1-1* Non-emergencies call 506-460-2300
govt,1:01 AM - 14 Jun 2013,PhilosophyTube,https://www.youtube.com/user/thephilosophytube,8011,263,UK,"54.70235,-3.2765699","Web show by @ollythorn. When the government tripled tuition fees I started giving away my degree, free. He/Him"
fire/emt,7:54 AM - 13 Oct 2009,nottspolice,http://nottinghamshire.police.uk,113914,1011,Nottinghamshire,"53.16666,-0.9999999",This account isn't monitored 24/7 so please don't report crime here - call 999 in an emergency or 101 instead.
news,8:54 PM - 29 Jan 2017,Discocollective,http://www.fuckingcommies.com,3032,2772,The hearts of the Proletariat,,"Discourse Collective is a leftist platform, featuring podcasts on theory, news & culture. https://soundcloud.com/discoursecollective … https://discord.gg/MpY6rt9"
journalist,1:16 PM - 22 May 2012,_AnnaBeahm,http://sweetsourblogs.blogspot.com,324,769,"Alabama, USA","33.25888,-86.8295299",Crime and public safety reporter for @decaturdaily. Views here are mine. Wife of @tybeahm.
wx,1:31 PM - 3 Feb 2010,WMassNews,http://www.westernmassnews.com,44245,368,"Springfield, MA","42.11241,-72.5467086283346","Western Mass News brings you news, First Warning Weather, Sports on-air, online, and on the go."
journalist,9:21 AM - 28 Jan 2010,heidigroover,http://www.thestranger.com/seattle/heidi-groover/Author?oid=21149922,5868,1895,"Seattle, WA","47.60383,-122.3300599",Reporter at @TheStranger. Previously @TheInlander. Yell at me at heidi@thestranger.com.
journalist,3:50 AM - 26 Jan 2015,ZoeStevensHE,,383,558,Torquay,"50.46523,-3.5211299",Editorial Apprentice @ Herald Express - views are all my own.
wx,8:30 AM - 16 Jan 2009,1200WOAI,http://WOAI.com,15769,615,San Antonio,"29.4246,-98.4951399","San Antonio's Breaking News, Traffic and Weather Station and Radio Home for the @Spurs - Listen to us anywhere on #iHeartRadio - http://WOAI.com/listen"
journalist,3:48 AM - 1 Mar 2012,RatnaLachman,http://www.justwestyorkshire.co.uk,1095,1653,,,The views expressed by the Director are personal and do not necessarily reflect the views of JUST West Yorkshire.
journalist,12:09 AM - 16 Jun 2011,BBoason,http://www.channelstv.com,12453,796,"Lagos, Nigeria","6.45505,3.39417","26-Yrs of Business Journalism in print, on Radio/TV & Online: Head Business News ChannelsTV, ex-BloombergTVA, MBI, AIT, DBN, NTA Views Are Mine. @boasonbusiness"
police/traffic,10:47 AM - 24 Mar 2009,davidshepardson,http://www.reuters.com/journalists/david-shepardson,12578,4346,"Washington, DC","38.89495,-77.0366399","@Reuters reporter covering transportation, autos, @fcc Former Detroit News DC Bureau Chief. Michigan native. Father of two, husband, would-be basketball player"
journalist,7:48 PM - 23 Apr 2009,JBedellWHIO,http://whio.com,3766,701,"Dayton, OH","39.75894,-84.1915999","Emmy Award winning reporter, anchor @whiotv. @DaytonMBB postgame host @WHIORadio. @WalshJesuit & @UnivofDayton grad. Just a kid from Akron."
journalist,9:15 AM - 17 Aug 2012,MayaTPrabhu,http://www.postandcourier.com,2659,1379,"Columbia, SC","34.00074,-81.0343299","Statehouse reporter with The @PostandCourier. Spelman woman. Terp. Lover of politics, good journalism, great food, my pups and all things Beyonce."
journalist,8:54 AM - 1 Jul 2013,DegenRolf,https://plus.google.com/u/0/101046916407340625977/posts,6792,15,bonn,"50.73585,7.10065","Science writer and book author in psychology, neuroscience and evolution"
news,8:00 PM - 12 Jan 2009,LifeSite,http://www.lifesitenews.com,46651,39135,Canada,"61.06669,-107.9916999","The #1 pro-life news website. Covering the most important life, faith, and family news."
journalist,1:33 PM - 31 Jul 2009,NWATracy,http://www.nwaonline.com,1635,1207,"Bentonville, Ark.","36.302275,-94.2815832333333",Courts and crime reporter for Northwest Arkansas Newspapers. News junkie and sports fan. News tips: tneal@nwaonline.com
news,8:55 AM - 24 May 2010,LoriWilsonWSB,http://wsbtv.com,6305,1790,"Atlanta, GA","33.74909,-84.3901799",@WSBTV - God. Family. Friends. Food. Back in ATL via @WCIA3 @KSLA @NbcPhiladelphia & @WISH_TV News Tips: lori.wilson@wsbtv.com [Prov. 3:5-7]
fire/emt,1:18 PM - 13 Nov 2014,TaberFire,,310,62,,,
police/traffic,3:02 AM - 25 Mar 2009,WGNtraffic,http://wgntv.com/traffic,15106,293,"Chicago, IL","41.87555,-87.6244199","Chicago traffic updates from the WGN-TV Traffic Team. Accidents, delays, roadwork, transit issues, flight info, you name it. @ErinMcElroyWGN @SarahJindra"
wx,5:40 AM - 24 Apr 2009,wxiiweather,http://www.wxii12.com/weather/grid.html,6767,136,"Greensboro, North Carolina","36.07263,-79.7919699",WXII 12 Weather. Forecasts and warnings from the #1 Weather Team in the Piedmont-Triad.
journalist,2:17 PM - 21 May 2010,joeygarrison,http://www.tennessean.com/staff/16973/joey-garrison/,6921,1049,"Nashville, Tenn.","36.16222,-86.7743499",Metro and political reporter for The Tennessean. Former education reporter.
news,9:44 AM - 26 Jan 2009,YahooFinance,http://finance.yahoo.com,778623,1780,"New York, NY","40.73059,-73.9865799",The biggest business news platform on the planet.
